tissue,cell_type,gene
brain,Type IA spiral ganglion neuron,ALDH5A1
brain,Type IA spiral ganglion neuron,ALPK2
brain,Type IA spiral ganglion neuron,APBA2
brain,Type IA spiral ganglion neuron,ARC
brain,Type IA spiral ganglion neuron,ARHGAP19
brain,Type IA spiral ganglion neuron,ARHGAP20
brain,Type IA spiral ganglion neuron,ARHGAP22
brain,Type IA spiral ganglion neuron,ARHGDIG
brain,Type IA spiral ganglion neuron,ARHGEF3
brain,Type IA spiral ganglion neuron,ASAP2
brain,Type IA spiral ganglion neuron,B3GAT1
brain,Type IA spiral ganglion neuron,BAG3
brain,Type IA spiral ganglion neuron,BVES
brain,Type IA spiral ganglion neuron,CA2
brain,Type IA spiral ganglion neuron,CACHD1
brain,Type IA spiral ganglion neuron,CACNA1B
brain,Type IA spiral ganglion neuron,CACNA1H
brain,Type IA spiral ganglion neuron,CACNA2D1
brain,Type IA spiral ganglion neuron,CACNA2D2
brain,Type IA spiral ganglion neuron,CALB2
brain,Type IA spiral ganglion neuron,CAR2
brain,Type IA spiral ganglion neuron,CARHSP1
brain,Type IA spiral ganglion neuron,CD24
brain,Type IA spiral ganglion neuron,CD24A
brain,Type IA spiral ganglion neuron,CD63
brain,Type IA spiral ganglion neuron,CDH22
brain,Type IA spiral ganglion neuron,CDK15
brain,Type IA spiral ganglion neuron,CHRNA1
brain,Type IA spiral ganglion neuron,CHRNA4
brain,Type IA spiral ganglion neuron,CLDN23
brain,Type IA spiral ganglion neuron,CLN8
brain,Type IA spiral ganglion neuron,CMTM4
brain,Type IA spiral ganglion neuron,COL4A2
brain,Type IA spiral ganglion neuron,CPXM1
brain,Type IA spiral ganglion neuron,CREG2
brain,Type IA spiral ganglion neuron,CSF1
brain,Type IA spiral ganglion neuron,CYP2S1
brain,Type IA spiral ganglion neuron,CYP46A1
brain,Type IA spiral ganglion neuron,CYS1
brain,Type IA spiral ganglion neuron,DCLK1
brain,Type IA spiral ganglion neuron,DERA
brain,Type IA spiral ganglion neuron,DISP3
brain,Type IA spiral ganglion neuron,DLGAP2
brain,Type IA spiral ganglion neuron,DNAH10
brain,Type IA spiral ganglion neuron,DOCK4
brain,Type IA spiral ganglion neuron,DOK5
brain,Type IA spiral ganglion neuron,DPY19L1
brain,Type IA spiral ganglion neuron,ELOVL5
brain,Type IA spiral ganglion neuron,EPHX4
brain,Type IA spiral ganglion neuron,ERICH1
brain,Type IA spiral ganglion neuron,F11R
brain,Type IA spiral ganglion neuron,F2R
brain,Type IA spiral ganglion neuron,F730043M19RIK
brain,Type IA spiral ganglion neuron,FAM219AOS
brain,Type IA spiral ganglion neuron,FAM78B
brain,Type IA spiral ganglion neuron,FAM84A
brain,Type IA spiral ganglion neuron,FBXO40
brain,Type IA spiral ganglion neuron,FKBP5
brain,Type IA spiral ganglion neuron,FMNL1
brain,Type IA spiral ganglion neuron,FRAT1
brain,Type IA spiral ganglion neuron,FRAT2
brain,Type IA spiral ganglion neuron,FRMD5
brain,Type IA spiral ganglion neuron,GHR
brain,Type IA spiral ganglion neuron,GM12992
brain,Type IA spiral ganglion neuron,GM15760
brain,Type IA spiral ganglion neuron,GNAO1
brain,Type IA spiral ganglion neuron,GOLGA7B
brain,Type IA spiral ganglion neuron,GPR37
brain,Type IA spiral ganglion neuron,GXYLT2
brain,Type IA spiral ganglion neuron,HCN3
brain,Type IA spiral ganglion neuron,HMOX1
brain,Type IA spiral ganglion neuron,HPCAL1
brain,Type IA spiral ganglion neuron,HYDIN
brain,Type IA spiral ganglion neuron,IGFBP3
brain,Type IA spiral ganglion neuron,IGTP
brain,Type IA spiral ganglion neuron,IRGM2
brain,Type IA spiral ganglion neuron,ISOC1
brain,Type IA spiral ganglion neuron,KCNIP4
brain,Type IA spiral ganglion neuron,KCNK12
brain,Type IA spiral ganglion neuron,KREMEN1
brain,Type IA spiral ganglion neuron,KSR1
brain,Type IA spiral ganglion neuron,L3HYPDH
brain,Type IA spiral ganglion neuron,LCP2
brain,Type IA spiral ganglion neuron,LMCD1
brain,Type IA spiral ganglion neuron,LRATD1
brain,Type IA spiral ganglion neuron,LRFN2
brain,Type IA spiral ganglion neuron,LRRC4C
brain,Type IA spiral ganglion neuron,LSM11
brain,Type IA spiral ganglion neuron,MAF
brain,Type IA spiral ganglion neuron,MAPK4
brain,Type IA spiral ganglion neuron,MBD2
brain,Type IA spiral ganglion neuron,MDGA1
brain,Type IA spiral ganglion neuron,ME1
brain,Type IA spiral ganglion neuron,MICAL1
brain,Type IA spiral ganglion neuron,MTURN
brain,Type IA spiral ganglion neuron,MYL1
brain,Type IA spiral ganglion neuron,MYO1E
brain,Type IA spiral ganglion neuron,N4BP3
brain,Type IA spiral ganglion neuron,NAIP2
brain,Type IA spiral ganglion neuron,NAIP5
brain,Type IA spiral ganglion neuron,NDE1
brain,Type IA spiral ganglion neuron,NFIB
brain,Type IA spiral ganglion neuron,NFKBIZ
brain,Type IA spiral ganglion neuron,NHSL1
brain,Type IA spiral ganglion neuron,NHSL2
brain,Type IA spiral ganglion neuron,NR3C1
brain,Type IA spiral ganglion neuron,NRCAM
brain,Type IA spiral ganglion neuron,NRDE2
brain,Type IA spiral ganglion neuron,OBSCN
brain,Type IA spiral ganglion neuron,OLFML2B
brain,Type IA spiral ganglion neuron,PAG1
brain,Type IA spiral ganglion neuron,PALMD
brain,Type IA spiral ganglion neuron,PARM1
brain,Type IA spiral ganglion neuron,PARP9
brain,Type IA spiral ganglion neuron,PAXBP1
brain,Type IA spiral ganglion neuron,PCDH20
brain,Type IA spiral ganglion neuron,PCED1B
brain,Type IA spiral ganglion neuron,PDE3B
brain,Type IA spiral ganglion neuron,PLEKHH1
brain,Type IA spiral ganglion neuron,PLEKHO1
brain,Type IA spiral ganglion neuron,PLIN2
brain,Type IA spiral ganglion neuron,POFUT1
brain,Type IA spiral ganglion neuron,POR
brain,Type IA spiral ganglion neuron,PTCHD2
brain,Type IA spiral ganglion neuron,PTPRD
brain,Type IA spiral ganglion neuron,PYGL
brain,Type IA spiral ganglion neuron,PYGM
brain,Type IA spiral ganglion neuron,QK
brain,Type IA spiral ganglion neuron,RASD1
brain,Type IA spiral ganglion neuron,RASSF6
brain,Type IA spiral ganglion neuron,RASSF8
brain,Type IA spiral ganglion neuron,RGAG4
brain,Type IA spiral ganglion neuron,RGS6
brain,Type IA spiral ganglion neuron,RHOU
brain,Type IA spiral ganglion neuron,RILPL1
brain,Type IA spiral ganglion neuron,RIN2
brain,Type IA spiral ganglion neuron,RPP25
brain,Type IA spiral ganglion neuron,RSPH3B
brain,Type IA spiral ganglion neuron,RTL5
brain,Type IA spiral ganglion neuron,RXRG
brain,Type IA spiral ganglion neuron,SASH1
brain,Type IA spiral ganglion neuron,SEMA4G
brain,Type IA spiral ganglion neuron,SERTM1
brain,Type IA spiral ganglion neuron,SH3BGR
brain,Type IA spiral ganglion neuron,SH3BGRL
brain,Type IA spiral ganglion neuron,SLC15A5
brain,Type IA spiral ganglion neuron,SLC25A13
brain,Type IA spiral ganglion neuron,SLC7A2
brain,Type IA spiral ganglion neuron,SLC7A8
brain,Type IA spiral ganglion neuron,SMIM3
brain,Type IA spiral ganglion neuron,SNHG4
brain,Type IA spiral ganglion neuron,SNTA1
brain,Type IA spiral ganglion neuron,SNTB2
brain,Type IA spiral ganglion neuron,SOX12
brain,Type IA spiral ganglion neuron,SPRED2
brain,Type IA spiral ganglion neuron,SYNDIG1
brain,Type IA spiral ganglion neuron,SYNGR1
brain,Type IA spiral ganglion neuron,TANC1
brain,Type IA spiral ganglion neuron,TBC1D16
brain,Type IA spiral ganglion neuron,TCIM
brain,Type IA spiral ganglion neuron,TEC
brain,Type IA spiral ganglion neuron,THEM6
brain,Type IA spiral ganglion neuron,TIAM1
brain,Type IA spiral ganglion neuron,TMCC3
brain,Type IA spiral ganglion neuron,TMEM108
brain,Type IA spiral ganglion neuron,TMEM132C
brain,Type IA spiral ganglion neuron,TMEM132E
brain,Type IA spiral ganglion neuron,TMEM229A
brain,Type IA spiral ganglion neuron,TMEM229B
brain,Type IA spiral ganglion neuron,TMEM268
brain,Type IA spiral ganglion neuron,TMEM65
brain,Type IA spiral ganglion neuron,TNKS1BP1
brain,Type IA spiral ganglion neuron,TRIM24
brain,Type IA spiral ganglion neuron,TRIM54
brain,Type IA spiral ganglion neuron,TSEN54
brain,Type IA spiral ganglion neuron,TSPAN4
brain,Type IA spiral ganglion neuron,TSPAN9
brain,Type IA spiral ganglion neuron,TTC38
brain,Type IA spiral ganglion neuron,UPP1
brain,Type IA spiral ganglion neuron,VLDLR
brain,Type IA spiral ganglion neuron,VPS8
brain,Type IA spiral ganglion neuron,WDR91
brain,Type IA spiral ganglion neuron,WSCD2
brain,Type IA spiral ganglion neuron,ZFHX3
brain,Type IA spiral ganglion neuron,ZFP532
brain,Type IA spiral ganglion neuron,ZFP710
brain,Type IA spiral ganglion neuron,ZFP804A
brain,Type IB spiral ganglion neuron,ANKRD16
brain,Type IB spiral ganglion neuron,ANXA5
brain,Type IB spiral ganglion neuron,APEX2
brain,Type IB spiral ganglion neuron,BCAM
brain,Type IB spiral ganglion neuron,BTBD9
brain,Type IB spiral ganglion neuron,CALB1
brain,Type IB spiral ganglion neuron,CCDC155
brain,Type IB spiral ganglion neuron,CDH23
brain,Type IB spiral ganglion neuron,CFAP161
brain,Type IB spiral ganglion neuron,COL19A1
brain,Type IB spiral ganglion neuron,CX3CL1
brain,Type IB spiral ganglion neuron,EDIL3
brain,Type IB spiral ganglion neuron,ENO1
brain,Type IB spiral ganglion neuron,EZR
brain,Type IB spiral ganglion neuron,FBXO27
brain,Type IB spiral ganglion neuron,H2-K1
brain,Type IB spiral ganglion neuron,HCRTR2
brain,Type IB spiral ganglion neuron,HTR2C
brain,Type IB spiral ganglion neuron,IFIT1
brain,Type IB spiral ganglion neuron,KASH5
brain,Type IB spiral ganglion neuron,KCND2
brain,Type IB spiral ganglion neuron,KCNMB2
brain,Type IB spiral ganglion neuron,KCNQ1
brain,Type IB spiral ganglion neuron,LGALS1
brain,Type IB spiral ganglion neuron,LRRC52
brain,Type IB spiral ganglion neuron,LRRC7
brain,Type IB spiral ganglion neuron,LYPD6
brain,Type IB spiral ganglion neuron,MGAT5B
brain,Type IB spiral ganglion neuron,PLS3
brain,Type IB spiral ganglion neuron,PPFIBP2
brain,Type IB spiral ganglion neuron,PPM1D
brain,Type IB spiral ganglion neuron,RASGRP2
brain,Type IB spiral ganglion neuron,RBM20
brain,Type IB spiral ganglion neuron,RUNX1
brain,Type IB spiral ganglion neuron,RYR3
brain,Type IB spiral ganglion neuron,SDC4
brain,Type IB spiral ganglion neuron,SEMA3D
brain,Type IB spiral ganglion neuron,SEMA3E
brain,Type IB spiral ganglion neuron,SESTD1
brain,Type IB spiral ganglion neuron,SLC29A3
brain,Type IB spiral ganglion neuron,SPATS2L
brain,Type IB spiral ganglion neuron,SPRY3
brain,Type IB spiral ganglion neuron,TMEM196
brain,Type IB spiral ganglion neuron,TMPRSS4
brain,Type IB spiral ganglion neuron,TPBGL
brain,Type IB spiral ganglion neuron,TRMT61A
brain,Type IB spiral ganglion neuron,TTN
brain,Type IB spiral ganglion neuron,UBXN2B
brain,Type IB spiral ganglion neuron,WSCD1
brain,Type IB spiral ganglion neuron,ZADH2
brain,Type IC spiral ganglion neuron,1190002N15RIK
brain,Type IC spiral ganglion neuron,1700123I01RIK
brain,Type IC spiral ganglion neuron,1810041L15RIK
brain,Type IC spiral ganglion neuron,6030419C18RIK
brain,Type IC spiral ganglion neuron,6330403K07RIK
brain,Type IC spiral ganglion neuron,ADAM11
brain,Type IC spiral ganglion neuron,ADGRA1
brain,Type IC spiral ganglion neuron,ADGRB3
brain,Type IC spiral ganglion neuron,ADPRHL1
brain,Type IC spiral ganglion neuron,AI987944
brain,Type IC spiral ganglion neuron,ANKS1B
brain,Type IC spiral ganglion neuron,ANTXR1
brain,Type IC spiral ganglion neuron,ARNT2
brain,Type IC spiral ganglion neuron,ARPP21
brain,Type IC spiral ganglion neuron,ATP11A
brain,Type IC spiral ganglion neuron,B4GALT4
brain,Type IC spiral ganglion neuron,BC030500
brain,Type IC spiral ganglion neuron,BHLHE22
brain,Type IC spiral ganglion neuron,BOC
brain,Type IC spiral ganglion neuron,CACNA1E
brain,Type IC spiral ganglion neuron,CACNG5
brain,Type IC spiral ganglion neuron,CAMK1D
brain,Type IC spiral ganglion neuron,CAR13
brain,Type IC spiral ganglion neuron,CCDC109B
brain,Type IC spiral ganglion neuron,CCDC162
brain,Type IC spiral ganglion neuron,CCDC162P
brain,Type IC spiral ganglion neuron,CCKAR
brain,Type IC spiral ganglion neuron,CD164L2
brain,Type IC spiral ganglion neuron,CDH4
brain,Type IC spiral ganglion neuron,CDH8
brain,Type IC spiral ganglion neuron,CHST9
brain,Type IC spiral ganglion neuron,CIT
brain,Type IC spiral ganglion neuron,CLEC18A
brain,Type IC spiral ganglion neuron,CLRN1
brain,Type IC spiral ganglion neuron,CPLX2
brain,Type IC spiral ganglion neuron,CPNE6
brain,Type IC spiral ganglion neuron,CRIM1
brain,Type IC spiral ganglion neuron,CRTAC1
brain,Type IC spiral ganglion neuron,CYP1B1
brain,Type IC spiral ganglion neuron,CYTH3
brain,Type IC spiral ganglion neuron,DACH1
brain,Type IC spiral ganglion neuron,DCBLD2
brain,Type IC spiral ganglion neuron,DCC
brain,Type IC spiral ganglion neuron,DENND2C
brain,Type IC spiral ganglion neuron,DIPK2A
brain,Type IC spiral ganglion neuron,DIRAS2
brain,Type IC spiral ganglion neuron,DRD1
brain,Type IC spiral ganglion neuron,DUSP6
brain,Type IC spiral ganglion neuron,EGFLAM
brain,Type IC spiral ganglion neuron,EHBP1L1
brain,Type IC spiral ganglion neuron,ELFN2
brain,Type IC spiral ganglion neuron,ELMOD1
brain,Type IC spiral ganglion neuron,EMB
brain,Type IC spiral ganglion neuron,EPB41L4A
brain,Type IC spiral ganglion neuron,ESPN
brain,Type IC spiral ganglion neuron,ESR2
brain,Type IC spiral ganglion neuron,EVA1C
brain,Type IC spiral ganglion neuron,F630111L10RIK
brain,Type IC spiral ganglion neuron,FAIM2
brain,Type IC spiral ganglion neuron,FAM3C
brain,Type IC spiral ganglion neuron,FAM43B
brain,Type IC spiral ganglion neuron,FANCA
brain,Type IC spiral ganglion neuron,FGF5
brain,Type IC spiral ganglion neuron,FKBP11
brain,Type IC spiral ganglion neuron,FKBP9
brain,Type IC spiral ganglion neuron,FMN1
brain,Type IC spiral ganglion neuron,FSCN2
brain,Type IC spiral ganglion neuron,FUT8
brain,Type IC spiral ganglion neuron,GAB1
brain,Type IC spiral ganglion neuron,GALK2
brain,Type IC spiral ganglion neuron,GALNT13
brain,Type IC spiral ganglion neuron,GALNT14
brain,Type IC spiral ganglion neuron,GALNTL6
brain,Type IC spiral ganglion neuron,GGACT
brain,Type IC spiral ganglion neuron,GLCE
brain,Type IC spiral ganglion neuron,GLDN
brain,Type IC spiral ganglion neuron,GLIS1
brain,Type IC spiral ganglion neuron,GM19557
brain,Type IC spiral ganglion neuron,GM20063
brain,Type IC spiral ganglion neuron,GPR155
brain,Type IC spiral ganglion neuron,GPX8
brain,Type IC spiral ganglion neuron,GRM8
brain,Type IC spiral ganglion neuron,GRXCR2
brain,Type IC spiral ganglion neuron,GSTP1
brain,Type IC spiral ganglion neuron,HAP1
brain,Type IC spiral ganglion neuron,HMCN1
brain,Type IC spiral ganglion neuron,HOPX
brain,Type IC spiral ganglion neuron,HRH3
brain,Type IC spiral ganglion neuron,INSYN1
brain,Type IC spiral ganglion neuron,ISLR2
brain,Type IC spiral ganglion neuron,KCNC2
brain,Type IC spiral ganglion neuron,KCNIP1
brain,Type IC spiral ganglion neuron,KCNIP2
brain,Type IC spiral ganglion neuron,KCNJ9
brain,Type IC spiral ganglion neuron,KCNK3
brain,Type IC spiral ganglion neuron,KHDRBS2
brain,Type IC spiral ganglion neuron,KIF26B
brain,Type IC spiral ganglion neuron,KRT28
brain,Type IC spiral ganglion neuron,LDHA
brain,Type IC spiral ganglion neuron,LEMD1
brain,Type IC spiral ganglion neuron,LGI1
brain,Type IC spiral ganglion neuron,LGR5
brain,Type IC spiral ganglion neuron,LRRCC1
brain,Type IC spiral ganglion neuron,LRRK2
brain,Type IC spiral ganglion neuron,LUZP2
brain,Type IC spiral ganglion neuron,LYPD1
brain,Type IC spiral ganglion neuron,MAGI1
brain,Type IC spiral ganglion neuron,MAJIN
brain,Type IC spiral ganglion neuron,MAP3K20
brain,Type IC spiral ganglion neuron,MCM6
brain,Type IC spiral ganglion neuron,MCUB
brain,Type IC spiral ganglion neuron,MEF2C
brain,Type IC spiral ganglion neuron,MGAT4C
brain,Type IC spiral ganglion neuron,MKNK1
brain,Type IC spiral ganglion neuron,MRPS6
brain,Type IC spiral ganglion neuron,MSTN
brain,Type IC spiral ganglion neuron,MYO1H
brain,Type IC spiral ganglion neuron,MYOM3
brain,Type IC spiral ganglion neuron,NALCN
brain,Type IC spiral ganglion neuron,NCALD
brain,Type IC spiral ganglion neuron,NDST3
brain,Type IC spiral ganglion neuron,NDST4
brain,Type IC spiral ganglion neuron,NEGR1
brain,Type IC spiral ganglion neuron,NEUROD1
brain,Type IC spiral ganglion neuron,NMRK1
brain,Type IC spiral ganglion neuron,NRP1
brain,Type IC spiral ganglion neuron,NTNG1
brain,Type IC spiral ganglion neuron,OBI1
brain,Type IC spiral ganglion neuron,P2RY14
brain,Type IC spiral ganglion neuron,P3H4
brain,Type IC spiral ganglion neuron,PARVA
brain,Type IC spiral ganglion neuron,PCBD1
brain,Type IC spiral ganglion neuron,PCDH9
brain,Type IC spiral ganglion neuron,PCP4L1
brain,Type IC spiral ganglion neuron,PCSK2
brain,Type IC spiral ganglion neuron,PCSK2OS1
brain,Type IC spiral ganglion neuron,PCSK5
brain,Type IC spiral ganglion neuron,PIRT
brain,Type IC spiral ganglion neuron,PISD-PS1
brain,Type IC spiral ganglion neuron,PLCD4
brain,Type IC spiral ganglion neuron,PLCE1
brain,Type IC spiral ganglion neuron,PLCXD2
brain,Type IC spiral ganglion neuron,PLOD2
brain,Type IC spiral ganglion neuron,PLXNA2
brain,Type IC spiral ganglion neuron,PNCK
brain,Type IC spiral ganglion neuron,POU4F1
brain,Type IC spiral ganglion neuron,PPP1R3B
brain,Type IC spiral ganglion neuron,PRKAR2B
brain,Type IC spiral ganglion neuron,PRR15
brain,Type IC spiral ganglion neuron,PRRT2
brain,Type IC spiral ganglion neuron,PTK7
brain,Type IC spiral ganglion neuron,RAB15
brain,Type IC spiral ganglion neuron,RASGRF1
brain,Type IC spiral ganglion neuron,RBFOX3
brain,Type IC spiral ganglion neuron,RGS10
brain,Type IC spiral ganglion neuron,RGS12
brain,Type IC spiral ganglion neuron,RHBDL1
brain,Type IC spiral ganglion neuron,RND2
brain,Type IC spiral ganglion neuron,RNF219
brain,Type IC spiral ganglion neuron,ROBO1
brain,Type IC spiral ganglion neuron,ROBO2
brain,Type IC spiral ganglion neuron,RPH3A
brain,Type IC spiral ganglion neuron,RUNX1T1
brain,Type IC spiral ganglion neuron,SAMD11
brain,Type IC spiral ganglion neuron,SATB1
brain,Type IC spiral ganglion neuron,SCN2B
brain,Type IC spiral ganglion neuron,SEMA3A
brain,Type IC spiral ganglion neuron,SEMA3F
brain,Type IC spiral ganglion neuron,SEMA4D
brain,Type IC spiral ganglion neuron,SERP2
brain,Type IC spiral ganglion neuron,SH2D7
brain,Type IC spiral ganglion neuron,SHISAL1
brain,Type IC spiral ganglion neuron,SLC17A6
brain,Type IC spiral ganglion neuron,SLC9A9
brain,Type IC spiral ganglion neuron,SLCO4A1
brain,Type IC spiral ganglion neuron,SLIT2
brain,Type IC spiral ganglion neuron,SLITRK2
brain,Type IC spiral ganglion neuron,SNCG
brain,Type IC spiral ganglion neuron,SORBS2
brain,Type IC spiral ganglion neuron,SPHKAP
brain,Type IC spiral ganglion neuron,SPOCK1
brain,Type IC spiral ganglion neuron,SPTB
brain,Type IC spiral ganglion neuron,ST6GALNAC3
brain,Type IC spiral ganglion neuron,TAGLN3
brain,Type IC spiral ganglion neuron,TENM2
brain,Type IC spiral ganglion neuron,TERF2
brain,Type IC spiral ganglion neuron,THRSP
brain,Type IC spiral ganglion neuron,TIMP3
brain,Type IC spiral ganglion neuron,TJP2
brain,Type IC spiral ganglion neuron,TMEM117
brain,Type IC spiral ganglion neuron,TMEM47
brain,Type IC spiral ganglion neuron,TMPRSS7
brain,Type IC spiral ganglion neuron,TPO
brain,Type IC spiral ganglion neuron,TRIOBP
brain,Type IC spiral ganglion neuron,TSKU
brain,Type IC spiral ganglion neuron,TSPAN2
brain,Type IC spiral ganglion neuron,TTYH2
brain,Type IC spiral ganglion neuron,USH1G
brain,Type IC spiral ganglion neuron,UST
brain,Type IC spiral ganglion neuron,VAT1L
brain,Type IC spiral ganglion neuron,ZAK
brain,Type IC spiral ganglion neuron,ZEB2
brain,Type IC spiral ganglion neuron,ZFP536
brain,Type IC spiral ganglion neuron,ZFP947
brain,Type II spiral ganglion neuron,ABCB1A
brain,Type II spiral ganglion neuron,ABHD2
brain,Type II spiral ganglion neuron,ABHD4
brain,Type II spiral ganglion neuron,ACADL
brain,Type II spiral ganglion neuron,ACTN2
brain,Type II spiral ganglion neuron,ACVR2A
brain,Type II spiral ganglion neuron,ADAM17
brain,Type II spiral ganglion neuron,ADAM19
brain,Type II spiral ganglion neuron,ADAMTSL5
brain,Type II spiral ganglion neuron,ADARB2
brain,Type II spiral ganglion neuron,ADCY2
brain,Type II spiral ganglion neuron,ADGRB1
brain,Type II spiral ganglion neuron,ADM
brain,Type II spiral ganglion neuron,AFF3
brain,Type II spiral ganglion neuron,AGPAT3
brain,Type II spiral ganglion neuron,AGPAT4
brain,Type II spiral ganglion neuron,AGTRAP
brain,Type II spiral ganglion neuron,AI413582
brain,Type II spiral ganglion neuron,AKAP13
brain,Type II spiral ganglion neuron,ALCAM
brain,Type II spiral ganglion neuron,ALDOART2
brain,Type II spiral ganglion neuron,ALKBH1
brain,Type II spiral ganglion neuron,ALKBH2
brain,Type II spiral ganglion neuron,ANO2
brain,Type II spiral ganglion neuron,ANTXR2
brain,Type II spiral ganglion neuron,APAF1
brain,Type II spiral ganglion neuron,APOBEC1
brain,Type II spiral ganglion neuron,ARAP2
brain,Type II spiral ganglion neuron,ARHGAP27
brain,Type II spiral ganglion neuron,ARHGAP27OS3
brain,Type II spiral ganglion neuron,ARHGAP36
brain,Type II spiral ganglion neuron,ARHGAP39
brain,Type II spiral ganglion neuron,ARHGEF28
brain,Type II spiral ganglion neuron,ARNT2
brain,Type II spiral ganglion neuron,ARPC5
brain,Type II spiral ganglion neuron,ASAP3
brain,Type II spiral ganglion neuron,ASB1
brain,Type II spiral ganglion neuron,ASCL2
brain,Type II spiral ganglion neuron,ASL
brain,Type II spiral ganglion neuron,ASPHD2
brain,Type II spiral ganglion neuron,ASS1
brain,Type II spiral ganglion neuron,ASTN2
brain,Type II spiral ganglion neuron,ATG16L2
brain,Type II spiral ganglion neuron,ATP10D
brain,Type II spiral ganglion neuron,ATP2B4
brain,Type II spiral ganglion neuron,B230216N24RIK
brain,Type II spiral ganglion neuron,BAALC
brain,Type II spiral ganglion neuron,BEAN1
brain,Type II spiral ganglion neuron,BEX1
brain,Type II spiral ganglion neuron,BEX4
brain,Type II spiral ganglion neuron,BGN
brain,Type II spiral ganglion neuron,BMP7
brain,Type II spiral ganglion neuron,BMPR1A
brain,Type II spiral ganglion neuron,CABIN1
brain,Type II spiral ganglion neuron,CACHD1
brain,Type II spiral ganglion neuron,CACNA1E
brain,Type II spiral ganglion neuron,CACNA2D1
brain,Type II spiral ganglion neuron,CACNA2D2
brain,Type II spiral ganglion neuron,CACNG5
brain,Type II spiral ganglion neuron,CAMK1G
brain,Type II spiral ganglion neuron,CAPN5
brain,Type II spiral ganglion neuron,CBLB
brain,Type II spiral ganglion neuron,CBX4
brain,Type II spiral ganglion neuron,CCDC112
brain,Type II spiral ganglion neuron,CCDC167
brain,Type II spiral ganglion neuron,CCDC22
brain,Type II spiral ganglion neuron,CCDC28B
brain,Type II spiral ganglion neuron,CCDC77
brain,Type II spiral ganglion neuron,CD200
brain,Type II spiral ganglion neuron,CD47
brain,Type II spiral ganglion neuron,CD63
brain,Type II spiral ganglion neuron,CD74
brain,Type II spiral ganglion neuron,CES2G
brain,Type II spiral ganglion neuron,CFLAR
brain,Type II spiral ganglion neuron,CHD3
brain,Type II spiral ganglion neuron,CHMP1A
brain,Type II spiral ganglion neuron,CHN2
brain,Type II spiral ganglion neuron,CHTOP
brain,Type II spiral ganglion neuron,CILP
brain,Type II spiral ganglion neuron,CKAP4
brain,Type II spiral ganglion neuron,CLCN1
brain,Type II spiral ganglion neuron,CLDN9
brain,Type II spiral ganglion neuron,CLIC1
brain,Type II spiral ganglion neuron,CLINT1
brain,Type II spiral ganglion neuron,CMTM4
brain,Type II spiral ganglion neuron,CNKSR2
brain,Type II spiral ganglion neuron,CNOT8
brain,Type II spiral ganglion neuron,CNTNAP5B
brain,Type II spiral ganglion neuron,COL28A1
brain,Type II spiral ganglion neuron,COMMD7
brain,Type II spiral ganglion neuron,CPNE1
brain,Type II spiral ganglion neuron,CPNE8
brain,Type II spiral ganglion neuron,CPSF3
brain,Type II spiral ganglion neuron,CRABP1
brain,Type II spiral ganglion neuron,CRIP2
brain,Type II spiral ganglion neuron,CRISPLD1
brain,Type II spiral ganglion neuron,CRTAC1
brain,Type II spiral ganglion neuron,CSF1R
brain,Type II spiral ganglion neuron,CSRP1
brain,Type II spiral ganglion neuron,CTC1
brain,Type II spiral ganglion neuron,CTHRC1
brain,Type II spiral ganglion neuron,CTNNA1
brain,Type II spiral ganglion neuron,CUX2
brain,Type II spiral ganglion neuron,CWC22
brain,Type II spiral ganglion neuron,CYB5A
brain,Type II spiral ganglion neuron,CYP39A1
brain,Type II spiral ganglion neuron,D030028A08RIK
brain,Type II spiral ganglion neuron,DEFB47
brain,Type II spiral ganglion neuron,DGKH
brain,Type II spiral ganglion neuron,DLG5
brain,Type II spiral ganglion neuron,DMD
brain,Type II spiral ganglion neuron,DNPH1
brain,Type II spiral ganglion neuron,DOK6
brain,Type II spiral ganglion neuron,DOK7
brain,Type II spiral ganglion neuron,DONSON
brain,Type II spiral ganglion neuron,DPYSL3
brain,Type II spiral ganglion neuron,DUBR
brain,Type II spiral ganglion neuron,DUSP11
brain,Type II spiral ganglion neuron,E230016M11RIK
brain,Type II spiral ganglion neuron,EBF4
brain,Type II spiral ganglion neuron,EDARADD
brain,Type II spiral ganglion neuron,EEF2KMT
brain,Type II spiral ganglion neuron,EFEMP2
brain,Type II spiral ganglion neuron,EFNA5
brain,Type II spiral ganglion neuron,EFNB1
brain,Type II spiral ganglion neuron,EFS
brain,Type II spiral ganglion neuron,EGFL7
brain,Type II spiral ganglion neuron,ELOVL1
brain,Type II spiral ganglion neuron,ELP4
brain,Type II spiral ganglion neuron,EML1
brain,Type II spiral ganglion neuron,EML6
brain,Type II spiral ganglion neuron,EPB41
brain,Type II spiral ganglion neuron,EPB41L4A
brain,Type II spiral ganglion neuron,EPHA8
brain,Type II spiral ganglion neuron,EPHB2
brain,Type II spiral ganglion neuron,EPN2
brain,Type II spiral ganglion neuron,EPS15
brain,Type II spiral ganglion neuron,ERC1
brain,Type II spiral ganglion neuron,ERLIN2
brain,Type II spiral ganglion neuron,EZR
brain,Type II spiral ganglion neuron,F11R
brain,Type II spiral ganglion neuron,F2R
brain,Type II spiral ganglion neuron,FAM117A
brain,Type II spiral ganglion neuron,FAM178B
brain,Type II spiral ganglion neuron,FAM20A
brain,Type II spiral ganglion neuron,FAM219B
brain,Type II spiral ganglion neuron,FAM227A
